# task_id	sweep	family	N	alpha	t	method	variant
C_t__F0__n1000000__a100__t100000000__ours__enum_sampling	C_t	F0	1000000	100	100000000	ours	enum_sampling
C_t__F0__n1000000__a100__t100000000__ours__sampling	C_t	F0	1000000	100	100000000	ours	sampling
C_t__F0__n1000000__a100__t100000000__kd_tree__sampling	C_t	F0	1000000	100	100000000	kd_tree	sampling
C_t__F0__n1000000__a100__t300000000__ours__enum_sampling	C_t	F0	1000000	100	300000000	ours	enum_sampling
C_t__F0__n1000000__a100__t300000000__ours__sampling	C_t	F0	1000000	100	300000000	ours	sampling
C_t__F0__n1000000__a100__t300000000__kd_tree__sampling	C_t	F0	1000000	100	300000000	kd_tree	sampling
C_t__F0__n1000000__a100__t1000000000__ours__enum_sampling	C_t	F0	1000000	100	1000000000	ours	enum_sampling
C_t__F0__n1000000__a100__t1000000000__ours__sampling	C_t	F0	1000000	100	1000000000	ours	sampling
C_t__F0__n1000000__a100__t1000000000__kd_tree__sampling	C_t	F0	1000000	100	1000000000	kd_tree	sampling
