# task_id	sweep	family	N	alpha	t	method	variant
D_family__F0__n1000000__a100__t10000000__ours__enum_sampling	D_family	F0	1000000	100	10000000	ours	enum_sampling
D_family__F0__n1000000__a100__t10000000__ours__sampling	D_family	F0	1000000	100	10000000	ours	sampling
D_family__F0__n1000000__a100__t10000000__kd_tree__sampling	D_family	F0	1000000	100	10000000	kd_tree	sampling
D_family__F1__n1000000__a100__t10000000__ours__enum_sampling	D_family	F1	1000000	100	10000000	ours	enum_sampling
D_family__F1__n1000000__a100__t10000000__ours__sampling	D_family	F1	1000000	100	10000000	ours	sampling
D_family__F1__n1000000__a100__t10000000__kd_tree__sampling	D_family	F1	1000000	100	10000000	kd_tree	sampling
