task_id,sweep,family,N,alpha,t,method,variant,out_dir,log_file,status
B_N__F0__n2000000__a100__t10000000__ours__enum_sampling,B_N,F0,2000000,100,10000000,ours,enum_sampling,/home/dhy/PhD/Compare/2026.3.5-Pro/run/temp/exp2_plan_2d/out/B_N/B_N__F0__n2000000__a100__t10000000__ours__enum_sampling,/home/dhy/PhD/Compare/2026.3.5-Pro/run/temp/exp2_plan_2d/logs/B_N__F0__n2000000__a100__t10000000__ours__enum_sampling.log,
B_N__F0__n2000000__a100__t10000000__ours__sampling,B_N,F0,2000000,100,10000000,ours,sampling,/home/dhy/PhD/Compare/2026.3.5-Pro/run/temp/exp2_plan_2d/out/B_N/B_N__F0__n2000000__a100__t10000000__ours__sampling,/home/dhy/PhD/Compare/2026.3.5-Pro/run/temp/exp2_plan_2d/logs/B_N__F0__n2000000__a100__t10000000__ours__sampling.log,
B_N__F0__n2000000__a100__t10000000__kd_tree__sampling,B_N,F0,2000000,100,10000000,kd_tree,sampling,/home/dhy/PhD/Compare/2026.3.5-Pro/run/temp/exp2_plan_2d/out/B_N/B_N__F0__n2000000__a100__t10000000__kd_tree__sampling,/home/dhy/PhD/Compare/2026.3.5-Pro/run/temp/exp2_plan_2d/logs/B_N__F0__n2000000__a100__t10000000__kd_tree__sampling.log,
B_N__F0__n5000000__a100__t10000000__ours__enum_sampling,B_N,F0,5000000,100,10000000,ours,enum_sampling,/home/dhy/PhD/Compare/2026.3.5-Pro/run/temp/exp2_plan_2d/out/B_N/B_N__F0__n5000000__a100__t10000000__ours__enum_sampling,/home/dhy/PhD/Compare/2026.3.5-Pro/run/temp/exp2_plan_2d/logs/B_N__F0__n5000000__a100__t10000000__ours__enum_sampling.log,
B_N__F0__n5000000__a100__t10000000__ours__sampling,B_N,F0,5000000,100,10000000,ours,sampling,/home/dhy/PhD/Compare/2026.3.5-Pro/run/temp/exp2_plan_2d/out/B_N/B_N__F0__n5000000__a100__t10000000__ours__sampling,/home/dhy/PhD/Compare/2026.3.5-Pro/run/temp/exp2_plan_2d/logs/B_N__F0__n5000000__a100__t10000000__ours__sampling.log,
B_N__F0__n5000000__a100__t10000000__kd_tree__sampling,B_N,F0,5000000,100,10000000,kd_tree,sampling,/home/dhy/PhD/Compare/2026.3.5-Pro/run/temp/exp2_plan_2d/out/B_N/B_N__F0__n5000000__a100__t10000000__kd_tree__sampling,/home/dhy/PhD/Compare/2026.3.5-Pro/run/temp/exp2_plan_2d/logs/B_N__F0__n5000000__a100__t10000000__kd_tree__sampling.log,
