task_id,sweep,family,N,alpha,t,method,variant,out_dir,log_file,status
C_t__F0__n1000000__a100__t100000000__ours__enum_sampling,C_t,F0,1000000,100,100000000,ours,enum_sampling,/home/dhy/PhD/Compare-305/2026.3.5-Pro-3/run/temp/exp2_plan_2d/out/C_t/C_t__F0__n1000000__a100__t100000000__ours__enum_sampling,/home/dhy/PhD/Compare-305/2026.3.5-Pro-3/run/temp/exp2_plan_2d/logs/C_t__F0__n1000000__a100__t100000000__ours__enum_sampling.log,
C_t__F0__n1000000__a100__t100000000__ours__sampling,C_t,F0,1000000,100,100000000,ours,sampling,/home/dhy/PhD/Compare-305/2026.3.5-Pro-3/run/temp/exp2_plan_2d/out/C_t/C_t__F0__n1000000__a100__t100000000__ours__sampling,/home/dhy/PhD/Compare-305/2026.3.5-Pro-3/run/temp/exp2_plan_2d/logs/C_t__F0__n1000000__a100__t100000000__ours__sampling.log,
C_t__F0__n1000000__a100__t100000000__kd_tree__sampling,C_t,F0,1000000,100,100000000,kd_tree,sampling,/home/dhy/PhD/Compare-305/2026.3.5-Pro-3/run/temp/exp2_plan_2d/out/C_t/C_t__F0__n1000000__a100__t100000000__kd_tree__sampling,/home/dhy/PhD/Compare-305/2026.3.5-Pro-3/run/temp/exp2_plan_2d/logs/C_t__F0__n1000000__a100__t100000000__kd_tree__sampling.log,
