dataset,method,variant,rep,seed,n_r,n_s,t,ok,wall_ms,count_value,count_exact,count_stderr,count_ci_low,count_ci_high,used_enumeration,enum_truncated,enum_cap,adaptive_branch,adaptive_pilot_pairs,phases_json,note,config_json,gen_report_json
d2_stripe_n2000000_a200_gs1,ours,adaptive,0,1,2000000,2000000,100000,1,18168.7,8e+08,1,nan,nan,nan,0,0,0,framework_III,0,"{""build_active_indices_ms"":453.938664,""build_events_ms"":869.547757,""build_ranks_ms"":1312.129523,""build_y_domain_ms"":348.374451,""phase1_count_and_cache_ms"":9701.329066,""phase2_alias_ms"":108.759280,""phase2_fill_ms"":5.987852,""phase3_fill_residual_ms"":5243.275554,""run_build_ms"":3083.354391,""run_count_ms"":9701.334476,""run_sample_ms"":5383.959121}",,"{""dataset"":{""source"":""synthetic"",""name"":""d2_stripe_n2000000_a200_gs1"",""dim"":2,""path_r"":"""",""path_s"":"""",""synthetic"":{""generator"":""stripe"",""n_r"":2000000,""n_s"":2000000,""alpha"":200,""seed"":1}},""run"":{""method"":""ours"",""variant"":""adaptive"",""t"":100000,""seed"":1,""repeats"":3,""j_star"":10000000,""enum_cap"":0,""write_samples"":false,""verify"":false},""output"":{""out_dir"":""/home/dhy/PhD/SJS-2D/run/temp/exp2_synth_d2/out/B_N/B_N__n2000000__a200__t100000__ours__adaptive"",""run_tag"":""""},""sys"":{""threads"":1},""logging"":{""level"":""INFO"",""with_timestamp"":true,""with_thread_id"":false}}","{""generator"":""stripe_ctrl_alpha"",""dataset"":""d2_stripe_n2000000_a200_gs1"",""n_r"":2000000,""n_s"":2000000,""has_exact_k"":true,""k_target"":800000000,""k_achieved"":800000000,""alpha_target"":200,""alpha_achieved"":200,""notes"":""control_axis=1, core=[0.45,0.55], g=5e-08, h=4.5e-07, delta=1.25e-08, shuffle_strips=1, shuffle_r=0, k_overridden=0""}"
d2_stripe_n2000000_a200_gs1,ours,adaptive,1,2,2000000,2000000,100000,1,20141.4,8e+08,1,nan,nan,nan,0,0,0,framework_III,0,"{""build_active_indices_ms"":99.991613,""build_events_ms"":1517.761723,""build_ranks_ms"":1321.096444,""build_y_domain_ms"":340.400683,""phase1_count_and_cache_ms"":9481.462729,""phase2_alias_ms"":113.758862,""phase2_fill_ms"":6.048290,""phase3_fill_residual_ms"":5194.834290,""run_build_ms"":3319.153791,""run_count_ms"":9481.468139,""run_sample_ms"":5342.882159}",,"{""dataset"":{""source"":""synthetic"",""name"":""d2_stripe_n2000000_a200_gs1"",""dim"":2,""path_r"":"""",""path_s"":"""",""synthetic"":{""generator"":""stripe"",""n_r"":2000000,""n_s"":2000000,""alpha"":200,""seed"":1}},""run"":{""method"":""ours"",""variant"":""adaptive"",""t"":100000,""seed"":1,""repeats"":3,""j_star"":10000000,""enum_cap"":0,""write_samples"":false,""verify"":false},""output"":{""out_dir"":""/home/dhy/PhD/SJS-2D/run/temp/exp2_synth_d2/out/B_N/B_N__n2000000__a200__t100000__ours__adaptive"",""run_tag"":""""},""sys"":{""threads"":1},""logging"":{""level"":""INFO"",""with_timestamp"":true,""with_thread_id"":false}}","{""generator"":""stripe_ctrl_alpha"",""dataset"":""d2_stripe_n2000000_a200_gs1"",""n_r"":2000000,""n_s"":2000000,""has_exact_k"":true,""k_target"":800000000,""k_achieved"":800000000,""alpha_target"":200,""alpha_achieved"":200,""notes"":""control_axis=1, core=[0.45,0.55], g=5e-08, h=4.5e-07, delta=1.25e-08, shuffle_strips=1, shuffle_r=0, k_overridden=0""}"
d2_stripe_n2000000_a200_gs1,ours,adaptive,2,3,2000000,2000000,100000,1,20120.1,8e+08,1,nan,nan,nan,0,0,0,framework_III,0,"{""build_active_indices_ms"":99.981187,""build_events_ms"":877.644135,""build_ranks_ms"":1320.250490,""build_y_domain_ms"":340.339537,""phase1_count_and_cache_ms"":9459.741876,""phase2_alias_ms"":112.669065,""phase2_fill_ms"":6.020772,""phase3_fill_residual_ms"":5197.495300,""run_build_ms"":2685.545992,""run_count_ms"":9459.747396,""run_sample_ms"":5344.099072}",,"{""dataset"":{""source"":""synthetic"",""name"":""d2_stripe_n2000000_a200_gs1"",""dim"":2,""path_r"":"""",""path_s"":"""",""synthetic"":{""generator"":""stripe"",""n_r"":2000000,""n_s"":2000000,""alpha"":200,""seed"":1}},""run"":{""method"":""ours"",""variant"":""adaptive"",""t"":100000,""seed"":1,""repeats"":3,""j_star"":10000000,""enum_cap"":0,""write_samples"":false,""verify"":false},""output"":{""out_dir"":""/home/dhy/PhD/SJS-2D/run/temp/exp2_synth_d2/out/B_N/B_N__n2000000__a200__t100000__ours__adaptive"",""run_tag"":""""},""sys"":{""threads"":1},""logging"":{""level"":""INFO"",""with_timestamp"":true,""with_thread_id"":false}}","{""generator"":""stripe_ctrl_alpha"",""dataset"":""d2_stripe_n2000000_a200_gs1"",""n_r"":2000000,""n_s"":2000000,""has_exact_k"":true,""k_target"":800000000,""k_achieved"":800000000,""alpha_target"":200,""alpha_achieved"":200,""notes"":""control_axis=1, core=[0.45,0.55], g=5e-08, h=4.5e-07, delta=1.25e-08, shuffle_strips=1, shuffle_r=0, k_overridden=0""}"
