task_id,sweep,family,N,alpha,t,method,variant,out_dir,log_file,status
D_family__F0__n1000000__a100__t10000000__ours__enum_sampling,D_family,F0,1000000,100,10000000,ours,enum_sampling,/home/dhy/PhD/results/run/temp/exp3_th_biggrid_2d/out/D_family/D_family__F0__n1000000__a100__t10000000__ours__enum_sampling,/home/dhy/PhD/results/run/temp/exp3_th_biggrid_2d/logs/D_family__F0__n1000000__a100__t10000000__ours__enum_sampling.log,
D_family__F0__n1000000__a100__t10000000__ours__sampling,D_family,F0,1000000,100,10000000,ours,sampling,/home/dhy/PhD/results/run/temp/exp3_th_biggrid_2d/out/D_family/D_family__F0__n1000000__a100__t10000000__ours__sampling,/home/dhy/PhD/results/run/temp/exp3_th_biggrid_2d/logs/D_family__F0__n1000000__a100__t10000000__ours__sampling.log,
D_family__F0__n1000000__a100__t10000000__kd_tree__sampling,D_family,F0,1000000,100,10000000,kd_tree,sampling,/home/dhy/PhD/results/run/temp/exp3_th_biggrid_2d/out/D_family/D_family__F0__n1000000__a100__t10000000__kd_tree__sampling,/home/dhy/PhD/results/run/temp/exp3_th_biggrid_2d/logs/D_family__F0__n1000000__a100__t10000000__kd_tree__sampling.log,
D_family__F1__n1000000__a100__t10000000__ours__enum_sampling,D_family,F1,1000000,100,10000000,ours,enum_sampling,/home/dhy/PhD/results/run/temp/exp3_th_biggrid_2d/out/D_family/D_family__F1__n1000000__a100__t10000000__ours__enum_sampling,/home/dhy/PhD/results/run/temp/exp3_th_biggrid_2d/logs/D_family__F1__n1000000__a100__t10000000__ours__enum_sampling.log,
D_family__F1__n1000000__a100__t10000000__ours__sampling,D_family,F1,1000000,100,10000000,ours,sampling,/home/dhy/PhD/results/run/temp/exp3_th_biggrid_2d/out/D_family/D_family__F1__n1000000__a100__t10000000__ours__sampling,/home/dhy/PhD/results/run/temp/exp3_th_biggrid_2d/logs/D_family__F1__n1000000__a100__t10000000__ours__sampling.log,
D_family__F1__n1000000__a100__t10000000__kd_tree__sampling,D_family,F1,1000000,100,10000000,kd_tree,sampling,/home/dhy/PhD/results/run/temp/exp3_th_biggrid_2d/out/D_family/D_family__F1__n1000000__a100__t10000000__kd_tree__sampling,/home/dhy/PhD/results/run/temp/exp3_th_biggrid_2d/logs/D_family__F1__n1000000__a100__t10000000__kd_tree__sampling.log,
