sweep,family,N,alpha,t,method,variant,ok_reps,total_reps,status,wall_ms_mean,wall_ms_median,wall_ms_cv,run_build_ms_mean,run_build_ms_median,run_build_ms_cv,run_count_ms_mean,run_count_ms_median,run_count_ms_cv,run_sample_ms_mean,run_sample_ms_median,run_sample_ms_cv,build_events_ms_mean,build_events_ms_median,build_events_ms_cv,build_y_domain_ms_mean,build_y_domain_ms_median,build_y_domain_ms_cv,build_ranks_ms_mean,build_ranks_ms_median,build_ranks_ms_cv,build_active_indices_ms_mean,build_active_indices_ms_median,build_active_indices_ms_cv,phase1_count_ms_mean,phase1_count_ms_median,phase1_count_ms_cv,phase2_plan_ms_mean,phase2_plan_ms_median,phase2_plan_ms_cv,phase3_sample_ms_mean,phase3_sample_ms_median,phase3_sample_ms_cv,build_ms_mean,build_ms_median,build_ms_cv,build_points_ms_mean,build_points_ms_median,build_points_ms_cv,phase3_fill_ms_mean,phase3_fill_ms_median,phase3_fill_ms_cv,phase1_enumerate_materialize_ms_mean,phase1_enumerate_materialize_ms_median,phase1_enumerate_materialize_ms_cv,phase2_resample_ms_mean,phase2_resample_ms_median,phase2_resample_ms_cv,samples_per_sec_mean,samples_per_sec_median,samples_per_sec_cv,ns_per_sample_mean,ns_per_sample_median,ns_per_sample_cv
A_alpha,F0,1000000,130,10000000,ours,enum_sampling,3,3,OK,9842.886666666667,10109.7,0.08900002960707408,846.633746,894.023187,0.10377631643900284,7657.755254333334,7601.443581,0.043409609625069144,401.9981466666666,287.533765,0.6281418043266931,262.1205763333333,253.838354,0.08671859167100872,198.443261,196.073979,0.05997454267401814,193.49418233333336,190.461226,0.023570837349829666,100.88744533333333,106.619706,0.5462150712952106,,,,,,,,,,,,,,,,,,,7657.750921,7601.440241,0.04340961155855745,401.99260933333335,287.526375,0.6281502892890635,36070296.8404097,34778524.18480313,0.5307775501809031,40.19981466666667,28.7533765,0.628141804326693
A_alpha,F0,1000000,130,10000000,ours,sampling,3,3,OK,7254.153333333333,7095.17,0.07568493425057445,791.291299,743.249187,0.10749190110269094,488.37412033333334,493.665993,0.018819248431675543,5298.317861333333,5289.206671,0.0700518492012848,254.77683533333334,252.4102,0.05008858660033731,188.981864,191.151163,0.03941949267923215,193.54018766666664,190.202751,0.024497993829205835,77.33922933333334,32.13486,0.8406064712561249,488.36880033333335,493.662494,0.018817212847406506,494.4934376666667,495.709295,0.030643141228102928,4801.536437333333,4774.518097,0.07911840765107685,,,,,,,,,,,,,,,,1896697.910345411,1890642.7035322024,0.07012917374271459,529.8317861333334,528.9206671,0.0700518492012848
A_alpha,F0,1000000,70,10000000,kd_tree,sampling,3,3,OK,12936.066666666666,12907.1,0.010986740753551837,250.966319,251.196855,0.04544657872600595,4676.548711,4652.618858,0.020293036667153947,8008.585263333333,8003.321093,0.004502386362011302,,,,,,,,,,,,,4676.541355,4652.615848,0.020291731670809655,875.3610140000001,873.872012,0.00520387564377767,,,,250.96494599999997,251.195585,0.045446524090069745,249.6973866666667,250.96513,0.040700672863532274,7115.694051666666,7112.895524,0.0046401386283967515,,,,,,,1248685.2790014443,1249481.294552379,0.004498076507328412,800.8585263333333,800.3321093,0.004502386362011269
A_alpha,F0,1000000,70,10000000,ours,enum_sampling,3,3,OK,7166.753333333334,7207.71,0.015187819953800568,1058.064512,950.648536,0.21892345592168502,5563.920894666667,5388.329201,0.04487155344652245,151.143979,150.354097,0.008516330577488221,517.2287783333333,380.131779,0.5230005868198414,189.33319500000002,188.195459,0.04970453925296738,196.31619933333332,190.27946,0.04349171861320526,72.29773533333334,31.946784,0.8034624039326572,,,,,,,,,,,,,,,,,,,5563.914018333333,5388.324742,0.04487092330854958,151.138749,150.348367,0.008518370580483952,66166850.74049244,66509660.85746237,0.008466644999470195,15.1143979,15.0354097,0.008516330577488155
A_alpha,F0,1000000,70,10000000,ours,sampling,3,3,OK,6742.5199999999995,6876.48,0.0341932780620098,788.9189176666667,726.149755,0.11745720930950809,489.47848400000004,490.118782,0.01372159945627215,4797.944748333332,4711.782576,0.032563502522087555,257.338048,252.931722,0.024415731793697142,183.491009,178.71467,0.03708265806973998,195.34561766666664,197.428815,0.01874520141745071,77.92024500000001,30.656118,0.8578414541122164,489.47430099999997,490.114812,0.01372132221990556,504.17827566666665,503.832412,0.033744306197105556,4291.507392333333,4205.731416,0.032761014919002844,,,,,,,,,,,,,,,,2086391.75981329,2122339.016858744,0.031882233782398364,479.79447483333337,471.1782576,0.03256350252208753
A_alpha,F0,1000000,80,10000000,kd_tree,sampling,3,3,OK,13691.699999999999,13651.1,0.00845202142462733,250.296195,255.370416,0.03920262601230829,4982.677997,4913.177661,0.023029709361801994,8458.726239000001,8445.937525,0.0036591665220029666,,,,,,,,,,,,,4982.669283666666,4913.173661,0.02302849029346966,881.9845476666666,883.625906,0.002875349094522364,,,,250.2938323333333,255.368856,0.03919983278365041,249.508193,255.14043,0.03740730090146148,7558.071404666666,7543.17842,0.00403290639614625,,,,,,,1182226.891618285,1184001.1804965371,0.0036518418801347913,845.8726239000001,844.5937524999999,0.0036591665220029835
A_alpha,F0,1000000,80,10000000,ours,enum_sampling,3,3,OK,7517.04,7594.72,0.015290834999630269,1213.2348583333332,1363.75772,0.17948471224487386,5902.923567000001,5707.457409,0.04687452035016595,159.0899486666667,160.813339,0.0182823847028532,683.521257,889.888269,0.43228853264207523,188.85630766666668,188.238279,0.013397042002348777,193.20977133333335,190.117524,0.022645288631627347,76.03206433333334,30.960563,0.8399259709796317,,,,,,,,,,,,,,,,,,,5902.920490333333,5707.454309,0.04687452281148905,159.08538533333333,160.809049,0.018282486173295722,62878804.420662224,62183896.32466993,0.01851313043888413,15.908994866666667,16.0813339,0.01828238470285317
A_alpha,F0,1000000,80,10000000,ours,sampling,3,3,OK,6782.516666666666,6932.72,0.03369484879417516,795.3135063333333,734.903869,0.11205837796252766,473.5808696666666,476.261645,0.010317553635399618,4845.147769333334,4736.793742,0.03304979809160365,259.7698056666666,259.332951,0.02320673903548645,183.30878933333335,179.312219,0.034049128269330264,195.87651433333335,198.136892,0.02150117931950995,78.89395633333334,38.239264,0.7930980992018323,473.5771096666667,476.257685,0.010316598039056693,504.9263876666667,498.278357,0.020760116832175997,4337.896028666667,4237.775968,0.03450811613719685,,,,,,,,,,,,,,,,2066125.954954733,2111132.665822543,0.03229723999022116,484.5147769333333,473.6793742,0.03304979809160367
A_alpha,F0,1000000,90,10000000,kd_tree,sampling,3,3,OK,14711.199999999999,14588.6,0.016765639105166655,239.92123833333335,235.918964,0.02764261190399302,5475.402486333333,5345.112107,0.041076245200996786,8995.872653333334,8994.185669,0.0028042728407036465,,,,,,,,,,,,,5475.392846666667,5345.108968,0.04107464591703131,880.1958549999999,883.715325,0.006494782737365747,,,,239.91874833333335,235.917884,0.02763446202016024,239.32922599999998,235.688738,0.02559666155059606,8095.869524333334,8087.563608,0.0026775042222628065,,,,,,,1111629.6332439336,1111829.3937901137,0.002803502797621439,899.5872653333332,899.4185669,0.0028042728407036577
A_alpha,F0,1000000,90,10000000,ours,enum_sampling,3,3,OK,8287.35,7856.03,0.09791520184827174,1390.882354,1362.901505,0.31798618665682354,6452.092107333333,6559.541741,0.053506250999061034,205.62847233333332,158.772128,0.33765007846697526,782.9722459999999,889.502255,0.51038770357333,188.308401,192.825742,0.036421334479471254,196.680692,199.188901,0.01806384032500195,145.362016,144.657856,0.6460391552930618,,,,,,,,,,,,,,,,,,,6452.086204333333,6559.537831,0.05350596910882864,205.62419933333334,158.768198,0.33765313163305716,53566044.24221974,62983346.800012656,0.2729168315259291,20.562847233333333,15.8772128,0.33765007846697526
