dataset,method,variant,rep,seed,n_r,n_s,t,ok,wall_ms,count_value,count_exact,count_stderr,count_ci_low,count_ci_high,used_enumeration,enum_truncated,enum_cap,adaptive_branch,adaptive_pilot_pairs,phases_json,note,config_json,gen_report_json
d2_F0_n5000000_a100_gs1,kd_tree,sampling,0,1,5000000,5000000,10000000,1,77545.6,1.00316e+09,1,nan,nan,nan,0,0,0,,0,"{""build_ms"":1379.586673,""build_points_ms"":1372.495290,""phase1_count_ms"":35136.052191,""phase2_plan_ms"":1084.724704,""phase3_fill_ms"":39928.674683,""run_build_ms"":1379.588803,""run_count_ms"":35136.056511,""run_sample_ms"":41029.908396}",repeat_protocol=shared_build,"{""dataset"":{""source"":""binary"",""name"":""d2_F0_n5000000_a100_gs1"",""dim"":2,""path_r"":""/home/dhy/PhD/Join-Sampling-2D/run/temp/exp2_plan_2d/datasets/F0/d2_F0_n5000000_a100_gs1_R.bin"",""path_s"":""/home/dhy/PhD/Join-Sampling-2D/run/temp/exp2_plan_2d/datasets/F0/d2_F0_n5000000_a100_gs1_S.bin"",""synthetic"":{""generator"":""alacarte_rectgen"",""n_r"":100000,""n_s"":100000,""alpha"":1e-06,""seed"":1}},""run"":{""method"":""kd_tree"",""variant"":""sampling"",""t"":10000000,""seed"":1,""repeats"":3,""j_star"":1000000,""enum_cap"":300000000,""write_samples"":false,""verify"":false},""output"":{""out_dir"":""/home/dhy/PhD/Join-Sampling-2D/run/temp/exp2_plan_2d/out/B_N/B_N__F0__n5000000__a100__t10000000__kd_tree__sampling"",""run_tag"":""""},""sys"":{""threads"":1},""logging"":{""level"":""INFO"",""with_timestamp"":true,""with_thread_id"":false}}","{""generator"":""alacarte_rectgen"",""dataset"":""d2_F0_n5000000_a100_gs1"",""dim"":2,""n_r"":5000000,""n_s"":5000000,""alpha_target"":100.0,""alpha_expected_est"":100.31647457860464,""coverage"":50.0,""pair_intersection_prob_est"":4.0126589831441855e-05,""audit_num_pairs"":2000000,""audit_seed"":1,""alpha_hat_est"":103.75,""p_hat_est"":4.15e-05,""epsilon_alpha"":0.0375,""fixed_params"":{""universe"":null,""volume_dist"":""fixed"",""volume_cv"":0.0,""shape_sigma"":0.0,""tune_tol_rel"":0.01,""dtype"":""float32"",""module_source"":""local_alacarte"",""alacarte_module_path"":""/home/dhy/PhD/Join-Sampling-2D/third_party/Alacarte/alacarte_rectgen.py""},""paths"":{""out_r"":""/home/dhy/PhD/Join-Sampling-2D/run/temp/exp2_plan_2d/datasets/F0/d2_F0_n5000000_a100_gs1_R.bin"",""out_s"":""/home/dhy/PhD/Join-Sampling-2D/run/temp/exp2_plan_2d/datasets/F0/d2_F0_n5000000_a100_gs1_S.bin"",""csv_r"":"""",""csv_s"":""""},""timing_sec"":{""generation"":0.8648040294647217,""audit"":0.3018312454223633,""binary_io"":0.2334134578704834,""csv_io"":0.0},""info"":{""coverage"":50.0,""alpha_target"":100.0,""alpha_expected_est"":100.31647457860464,""pair_intersection_prob_est"":4.0126589831441855e-05,""tune_history"":[{""coverage"":50.0,""alpha_est"":100.31647457860464}],""params"":{""nR"":5000000,""nS"":5000000,""d"":2,""universe"":null,""volume_dist"":""fixed"",""volume_cv"":0.0,""shape_sigma"":0.0,""seed"":1}}}"
d2_F0_n5000000_a100_gs1,kd_tree,sampling,1,2,5000000,5000000,10000000,1,40751.4,1.00316e+09,1,nan,nan,nan,0,0,0,,0,"{""phase2_plan_ms"":1085.761182,""phase3_fill_ms"":39648.258386,""run_count_ms"":0.000290,""run_sample_ms"":40751.364860}",repeat_protocol=shared_build;reuse_build=1,"{""dataset"":{""source"":""binary"",""name"":""d2_F0_n5000000_a100_gs1"",""dim"":2,""path_r"":""/home/dhy/PhD/Join-Sampling-2D/run/temp/exp2_plan_2d/datasets/F0/d2_F0_n5000000_a100_gs1_R.bin"",""path_s"":""/home/dhy/PhD/Join-Sampling-2D/run/temp/exp2_plan_2d/datasets/F0/d2_F0_n5000000_a100_gs1_S.bin"",""synthetic"":{""generator"":""alacarte_rectgen"",""n_r"":100000,""n_s"":100000,""alpha"":1e-06,""seed"":1}},""run"":{""method"":""kd_tree"",""variant"":""sampling"",""t"":10000000,""seed"":1,""repeats"":3,""j_star"":1000000,""enum_cap"":300000000,""write_samples"":false,""verify"":false},""output"":{""out_dir"":""/home/dhy/PhD/Join-Sampling-2D/run/temp/exp2_plan_2d/out/B_N/B_N__F0__n5000000__a100__t10000000__kd_tree__sampling"",""run_tag"":""""},""sys"":{""threads"":1},""logging"":{""level"":""INFO"",""with_timestamp"":true,""with_thread_id"":false}}","{""generator"":""alacarte_rectgen"",""dataset"":""d2_F0_n5000000_a100_gs1"",""dim"":2,""n_r"":5000000,""n_s"":5000000,""alpha_target"":100.0,""alpha_expected_est"":100.31647457860464,""coverage"":50.0,""pair_intersection_prob_est"":4.0126589831441855e-05,""audit_num_pairs"":2000000,""audit_seed"":1,""alpha_hat_est"":103.75,""p_hat_est"":4.15e-05,""epsilon_alpha"":0.0375,""fixed_params"":{""universe"":null,""volume_dist"":""fixed"",""volume_cv"":0.0,""shape_sigma"":0.0,""tune_tol_rel"":0.01,""dtype"":""float32"",""module_source"":""local_alacarte"",""alacarte_module_path"":""/home/dhy/PhD/Join-Sampling-2D/third_party/Alacarte/alacarte_rectgen.py""},""paths"":{""out_r"":""/home/dhy/PhD/Join-Sampling-2D/run/temp/exp2_plan_2d/datasets/F0/d2_F0_n5000000_a100_gs1_R.bin"",""out_s"":""/home/dhy/PhD/Join-Sampling-2D/run/temp/exp2_plan_2d/datasets/F0/d2_F0_n5000000_a100_gs1_S.bin"",""csv_r"":"""",""csv_s"":""""},""timing_sec"":{""generation"":0.8648040294647217,""audit"":0.3018312454223633,""binary_io"":0.2334134578704834,""csv_io"":0.0},""info"":{""coverage"":50.0,""alpha_target"":100.0,""alpha_expected_est"":100.31647457860464,""pair_intersection_prob_est"":4.0126589831441855e-05,""tune_history"":[{""coverage"":50.0,""alpha_est"":100.31647457860464}],""params"":{""nR"":5000000,""nS"":5000000,""d"":2,""universe"":null,""volume_dist"":""fixed"",""volume_cv"":0.0,""shape_sigma"":0.0,""seed"":1}}}"
d2_F0_n5000000_a100_gs1,kd_tree,sampling,2,3,5000000,5000000,10000000,1,40571.1,1.00316e+09,1,nan,nan,nan,0,0,0,,0,"{""phase2_plan_ms"":1069.484699,""phase3_fill_ms"":39480.647078,""run_count_ms"":0.000279,""run_sample_ms"":40571.070894}",repeat_protocol=shared_build;reuse_build=1,"{""dataset"":{""source"":""binary"",""name"":""d2_F0_n5000000_a100_gs1"",""dim"":2,""path_r"":""/home/dhy/PhD/Join-Sampling-2D/run/temp/exp2_plan_2d/datasets/F0/d2_F0_n5000000_a100_gs1_R.bin"",""path_s"":""/home/dhy/PhD/Join-Sampling-2D/run/temp/exp2_plan_2d/datasets/F0/d2_F0_n5000000_a100_gs1_S.bin"",""synthetic"":{""generator"":""alacarte_rectgen"",""n_r"":100000,""n_s"":100000,""alpha"":1e-06,""seed"":1}},""run"":{""method"":""kd_tree"",""variant"":""sampling"",""t"":10000000,""seed"":1,""repeats"":3,""j_star"":1000000,""enum_cap"":300000000,""write_samples"":false,""verify"":false},""output"":{""out_dir"":""/home/dhy/PhD/Join-Sampling-2D/run/temp/exp2_plan_2d/out/B_N/B_N__F0__n5000000__a100__t10000000__kd_tree__sampling"",""run_tag"":""""},""sys"":{""threads"":1},""logging"":{""level"":""INFO"",""with_timestamp"":true,""with_thread_id"":false}}","{""generator"":""alacarte_rectgen"",""dataset"":""d2_F0_n5000000_a100_gs1"",""dim"":2,""n_r"":5000000,""n_s"":5000000,""alpha_target"":100.0,""alpha_expected_est"":100.31647457860464,""coverage"":50.0,""pair_intersection_prob_est"":4.0126589831441855e-05,""audit_num_pairs"":2000000,""audit_seed"":1,""alpha_hat_est"":103.75,""p_hat_est"":4.15e-05,""epsilon_alpha"":0.0375,""fixed_params"":{""universe"":null,""volume_dist"":""fixed"",""volume_cv"":0.0,""shape_sigma"":0.0,""tune_tol_rel"":0.01,""dtype"":""float32"",""module_source"":""local_alacarte"",""alacarte_module_path"":""/home/dhy/PhD/Join-Sampling-2D/third_party/Alacarte/alacarte_rectgen.py""},""paths"":{""out_r"":""/home/dhy/PhD/Join-Sampling-2D/run/temp/exp2_plan_2d/datasets/F0/d2_F0_n5000000_a100_gs1_R.bin"",""out_s"":""/home/dhy/PhD/Join-Sampling-2D/run/temp/exp2_plan_2d/datasets/F0/d2_F0_n5000000_a100_gs1_S.bin"",""csv_r"":"""",""csv_s"":""""},""timing_sec"":{""generation"":0.8648040294647217,""audit"":0.3018312454223633,""binary_io"":0.2334134578704834,""csv_io"":0.0},""info"":{""coverage"":50.0,""alpha_target"":100.0,""alpha_expected_est"":100.31647457860464,""pair_intersection_prob_est"":4.0126589831441855e-05,""tune_history"":[{""coverage"":50.0,""alpha_est"":100.31647457860464}],""params"":{""nR"":5000000,""nS"":5000000,""d"":2,""universe"":null,""volume_dist"":""fixed"",""volume_cv"":0.0,""shape_sigma"":0.0,""seed"":1}}}"
