sweep,family,N,alpha,t,method,variant,ok_reps,total_reps,status,wall_ms_mean,wall_ms_median,wall_ms_cv,run_build_ms_mean,run_build_ms_median,run_build_ms_cv,run_count_ms_mean,run_count_ms_median,run_count_ms_cv,run_sample_ms_mean,run_sample_ms_median,run_sample_ms_cv,build_events_ms_mean,build_events_ms_median,build_events_ms_cv,build_y_domain_ms_mean,build_y_domain_ms_median,build_y_domain_ms_cv,build_ranks_ms_mean,build_ranks_ms_median,build_ranks_ms_cv,build_active_indices_ms_mean,build_active_indices_ms_median,build_active_indices_ms_cv,phase1_count_ms_mean,phase1_count_ms_median,phase1_count_ms_cv,phase2_plan_ms_mean,phase2_plan_ms_median,phase2_plan_ms_cv,phase3_sample_ms_mean,phase3_sample_ms_median,phase3_sample_ms_cv,build_ms_mean,build_ms_median,build_ms_cv,build_points_ms_mean,build_points_ms_median,build_points_ms_cv,phase3_fill_ms_mean,phase3_fill_ms_median,phase3_fill_ms_cv,phase1_enumerate_materialize_ms_mean,phase1_enumerate_materialize_ms_median,phase1_enumerate_materialize_ms_cv,phase2_resample_ms_mean,phase2_resample_ms_median,phase2_resample_ms_cv,samples_per_sec_mean,samples_per_sec_median,samples_per_sec_cv,ns_per_sample_mean,ns_per_sample_median,ns_per_sample_cv
A_alpha,F0,1000000,0p1,10000000,kd_tree,sampling,3,3,OK,2354.7966666666666,2349.44,0.010260276172880075,240.85574799999998,235.958444,0.03495082744862263,813.2585996666667,808.3247,0.026177702386303396,1300.6787026666668,1302.284626,0.004680812490082975,,,,,,,,,,,,,813.2555896666667,808.32218,0.026177407574815313,906.8547693333334,909.779887,0.006764356157907803,,,,240.85319133333334,235.957254,0.03494321363669361,240.20577500000002,235.725388,0.0326304080861006,378.132866,378.204526,0.0010243855431741726,,,,,,,7688462.549383924,7678812.911057126,0.004689149023697445,130.06787026666666,130.2284626,0.00468081249008296
A_alpha,F0,1000000,0p1,10000000,ours,enum_sampling,3,3,OK,4445.543333333334,4282.86,0.15962087115821802,1329.4751256666666,1295.689883,0.27193368736501367,2849.6284173333333,2730.97709,0.09220512625255668,37.78517433333334,39.129536,0.07663724021634288,718.7384133333334,829.020764,0.4679006346785456,184.91881,182.163105,0.023076528157620055,202.290001,203.303304,0.040924040610602834,146.67051866666665,157.624712,0.6211324011244939,,,,,,,,,,,,,,,,,,,2849.622844,2730.97407,0.09220398558189637,37.780664333333334,39.123956,0.07664216463971232,266294376.2429649,255561425.51754254,0.08040677706555233,3.778517433333333,3.9129536,0.07663724021634294
A_alpha,F0,1000000,0p1,10000000,ours,sampling,3,3,OK,4694.916666666667,4905.08,0.06540902229261283,1173.7111386666666,1311.422546,0.16810882755026316,434.5310083333333,434.591591,0.018448082690151163,2853.490184333333,2813.633619,0.021797971549967866,644.4336163333334,836.314862,0.4221542857116079,182.281161,178.180067,0.03193654078124009,197.0468963333333,198.922192,0.01846468336890389,72.875092,30.654079,0.8271669952991202,434.52734166666664,434.588081,0.018448437021473498,542.9739066666666,540.745008,0.00599103013979873,2308.281423,2270.842438,0.025541365670915885,,,,,,,,,,,,,,,,3506121.2311239075,3554123.014621258,0.02147145241832085,285.34901843333336,281.3633619,0.02179797154996788
A_alpha,F0,1000000,0p3,10000000,kd_tree,sampling,3,3,OK,2868.39,2846.39,0.017556428562246103,241.5458176666667,237.402728,0.03026262981666077,918.9815853333333,918.545593,0.0014497654931581413,1707.8583063333333,1676.954778,0.029908138072426843,,,,,,,,,,,,,918.9786053333333,918.542713,0.0014500635698091085,916.057494,915.900329,0.0027777165402165585,,,,241.54309433333333,237.401208,0.030254420660250504,240.93857733333334,237.180402,0.02811510520903536,773.498497,739.862834,0.0633521498546601,,,,,,,5860423.549269159,5963190.022289319,0.029307966833198407,170.78583063333335,167.6954778,0.029908138072426895
A_alpha,F0,1000000,0p3,10000000,ours,enum_sampling,3,3,OK,4174.400000000001,4340.08,0.06345433385412172,1175.0576156666666,1282.718427,0.15248821509544214,2736.889009,2687.371436,0.027040465977936957,37.152611666666665,36.769644,0.019331854273919768,645.003402,803.028121,0.40329472399885513,183.0581986666667,179.185422,0.03475903869933336,195.86085533333335,193.096295,0.02462458986030922,68.19591866666666,30.65798,0.7863762219521027,,,,,,,,,,,,,,,,,,,2736.8846553333333,2687.366246,0.027040473370627496,37.14711166666667,36.764114,0.01933320147511397,269259467.3136254,271963470.7368937,0.0190934619139131,3.7152611666666666,3.6769644,0.01933185427391979
A_alpha,F0,1000000,0p3,10000000,ours,sampling,3,3,OK,5308.1033333333335,5236.73,0.10481336961950789,1175.631024,1293.438666,0.15489050241939262,452.3238496666666,453.058891,0.008048594687846236,3443.649371,3299.241908,0.09511974669420303,644.7148016666666,824.126619,0.4074575085640412,185.001245,185.001511,0.02955599313383268,194.75989533333333,192.01188,0.0222409659909461,72.45155533333333,30.657229,0.8232169958048474,452.32017033333335,453.055212,0.008048500328255808,646.204905,646.342637,0.015476045560911436,2795.1999746666665,2638.623803,0.11645365618285801,,,,,,,,,,,,,,,,2929060.408963771,3030999.326163991,0.0903975116710728,344.36493709999996,329.9241908,0.09511974669420303
A_alpha,F0,1000000,1,10000000,kd_tree,sampling,3,3,OK,3722.3366666666666,3731.58,0.0069390581771440925,245.06740200000002,239.593761,0.03453178393365936,1089.7612406666667,1092.127827,0.007356823494544359,2387.501218666667,2393.112654,0.005442891323915318,,,,,,,,,,,,,1089.758114,1092.125407,0.007356830415611411,933.553233,933.334991,0.003559446699349635,,,,245.06631866666666,239.592781,0.03453184466429773,244.39203933333332,239.348245,0.032133827019177885,1435.1771166666667,1440.500757,0.008572677786252805,,,,,,,4188604.010043856,4178658.277237959,0.005459790078156892,238.75012186666666,239.3112654,0.005442891323915347
A_alpha,F0,1000000,1,10000000,ours,enum_sampling,3,3,OK,5197.696666666667,5053.1,0.1682415687256114,1155.732794,1076.59783,0.20981794292158465,3602.562149,3287.814147,0.13032868515032656,53.21525766666667,53.660687,0.10120443564843473,592.9768760000001,539.627209,0.47308787380306244,188.179931,189.473256,0.026333968103477316,197.06217166666667,195.645091,0.017633320322883526,96.940859,81.675888,0.4265218700590336,,,,,,,,,,,,,,,,,,,3602.5555356666664,3287.802397,0.1303292436668366,53.20994099999999,53.655677,0.1011979359183544,189895449.8495723,186356167.97079024,0.10324588973982023,5.321525766666666,5.3660687,0.10120443564843477
A_alpha,F0,1000000,1,10000000,ours,sampling,3,3,OK,5539.556666666666,5693.05,0.056176588225894615,994.8625109999999,910.391764,0.2610920314687676,431.2341533333333,430.474405,0.008919757183906198,3679.667759,3696.642901,0.021787128790988482,466.3480666666667,274.484306,0.6168545319663187,185.89074333333335,186.410383,0.030483383473676635,197.69946800000002,200.11265,0.019704182266585168,70.80973266666668,29.995639,0.815535658069603,431.23057,430.470525,0.008919889883049002,662.5199233333334,669.71833,0.01657305918691797,3014.8366650000003,3047.393435,0.027242711370001428,,,,,,,,,,,,,,,,2718936.2547066263,2705157.156861119,0.0219406738828696,367.96677589999996,369.6642901,0.021787128790988475
A_alpha,F0,1000000,10,10000000,kd_tree,sampling,3,3,OK,6491.873333333333,6483.14,0.003632049815032622,247.10046033333333,242.390075,0.03915551305622825,2077.4549133333335,2079.178057,0.003778482564934691,4167.318196,4155.461747,0.005558010983343515,,,,,,,,,,,,,2077.452616666667,2079.176217,0.0037787302405878367,905.7305916666668,902.082681,0.009042637953742218,,,,247.097747,242.388815,0.03914740687844502,246.48055666666667,242.146869,0.0371093345052793,3243.534822333333,3225.831484,0.008803956744339167,,,,,,,2399698.6480775247,2406471.43659051,0.005538528907740242,416.73181960000005,415.54617470000005,0.005558010983343467
